Segment,Borrowability,PHOIBLE_frequency_absolute,PHOIBLE_frequency_relative,SEGBO_frequency_absolute,SEGBO_frequency_relative
p,0.12667049566797306,1896,0.8709232889297198,31,0.01423977951309141
ɪ̈,0.1254610419548179,8,0.0036747818098300414,1,0.00045934772622875517
zˤ,0.1254610419548179,8,0.0036747818098300414,1,0.00045934772622875517
æ̃ː,0.1254610419548179,8,0.0036747818098300414,1,0.00045934772622875517
ɽ̃,0.11157236572365724,9,0.004134129536058797,1,0.00045934772622875517
tsʷ,0.11157236572365724,9,0.004134129536058797,1,0.00045934772622875517
ʜ,0.11157236572365724,9,0.004134129536058797,1,0.00045934772622875517
ɲ̊,0.10046146746654361,10,0.004593477262287551,1,0.00045934772622875517
ɡ,0.09786164304930255,1256,0.5769407441433165,52,0.02388608176389527
wʲ,0.0913707714261731,11,0.005052824988516307,1,0.00045934772622875517
ŋ̊,0.08379522709776752,12,0.005512172714745062,1,0.00045934772622875517
dʱ,0.08379522709776752,12,0.005512172714745062,1,0.00045934772622875517
ħ,0.08173026384946915,63,0.028938906752411574,5,0.0022967386311437757
b,0.08141465221111238,1386,0.6366559485530546,41,0.018833256775378962
z,0.08107196967469683,683,0.3137344970142398,38,0.017455213596692696
ʒ,0.07818917948215628,332,0.15250344510794672,22,0.010105649977032614
ð,0.07755242596242905,123,0.056499770326136886,9,0.004134129536058797
xʲ,0.07738518413194938,13,0.0059715204409738175,1,0.00045934772622875517
pʲʰ,0.0718908922792418,14,0.006430868167202572,1,0.00045934772622875517
z̻,0.0718908922792418,14,0.006430868167202572,1,0.00045934772622875517
ɑ̃ː,0.0718908922792418,14,0.006430868167202572,1,0.00045934772622875517
d̠ʒ,0.07075533021320853,641,0.2944418925126321,32,0.014699127239320165
v,0.07004635367040943,618,0.2838768948093707,31,0.01423977951309141
d,0.06982617312461278,1098,0.5043638033991732,38,0.017455213596692696
sʼ,0.06712920135676842,15,0.006890215893431328,1,0.00045934772622875517
qː,0.06712920135676842,15,0.006890215893431328,1,0.00045934772622875517
mbʷ,0.06712920135676842,15,0.006890215893431328,1,0.00045934772622875517
ɡ̤,0.06712920135676842,15,0.006890215893431328,1,0.00045934772622875517
x,0.06586264748755466,412,0.18925126320624713,22,0.010105649977032614
fʲ,0.06544809548146589,31,0.01423977951309141,2,0.0009186954524575103
ʎ,0.06474028548770816,97,0.04455672944418925,6,0.002756086357372531
h,0.0640425970052658,1259,0.5783187873220027,34,0.015617822691777675
ʃ,0.0638239783344419,783,0.3596692696371153,32,0.014699127239320165
ɹ,0.06263426423200859,49,0.022508038585209004,3,0.0013780431786862655
χ,0.061063634833666815,159,0.07303628847037207,9,0.004134129536058797
ɸ,0.05986125732602171,124,0.05695911805236564,7,0.003215434083601286
tsʲ,0.059286492374727676,17,0.0078089113458888375,1,0.00045934772622875517
d̤,0.059286492374727676,17,0.0078089113458888375,1,0.00045934772622875517
bʱ,0.05601873295249858,18,0.008268259072117593,1,0.00045934772622875517
bʰ,0.05601873295249858,18,0.008268259072117593,1,0.00045934772622875517
l,0.05556512694857609,1583,0.7271474506201194,24,0.011024345429490124
q,0.054232774942149495,181,0.08314193844740468,9,0.004134129536058797
r,0.05329028446020089,1100,0.5052824988516307,29,0.0133210840606339
ɱ,0.053094970977025514,19,0.008727606798346348,1,0.00045934772622875517
qʷʼ,0.053094970977025514,19,0.008727606798346348,1,0.00045934772622875517
t̠ʃ,0.05275657336726039,917,0.4212218649517685,28,0.012861736334405145
o,0.05152370042885137,1447,0.6646761598530088,25,0.011483693155718878
ɾ,0.04980781550288277,616,0.2829581993569132,22,0.010105649977032614
ʃː,0.049716817392893034,41,0.018833256775378962,2,0.0009186954524575103
ɣʷ,0.04808286951144094,21,0.00964630225080386,1,0.00045934772622875517
j,0.047727883102860504,1994,0.9159393661001378,8,0.0036747818098300414
zː,0.04591858257751529,22,0.010105649977032614,1,0.00045934772622875517
s,0.044062582225190765,1532,0.7037207165824529,20,0.009186954524575103
ɣ,0.04307536044532971,328,0.1506660542030317,12,0.005512172714745062
ts,0.04042523559723318,520,0.2388608176389527,16,0.007349563619660083
e,0.0401893894493015,1483,0.6812126779972439,19,0.008727606798346348
θ,0.03672815206388483,85,0.03904455672944419,3,0.0013780431786862655
ɖ̤,0.03617961842717543,28,0.012861736334405145,1,0.00045934772622875517
xʷ,0.034842592148012996,59,0.027101515847496555,2,0.0009186954524575103
m,0.03219652153336491,2113,0.9706017455213597,2,0.0009186954524575103
dz,0.03174315519338766,249,0.11437758383096004,7,0.003215434083601286
k,0.03156353302789539,2005,0.9209921910886542,5,0.0022967386311437757
ɖʐ,0.029878400263511847,34,0.015617822691777675,1,0.00045934772622875517
ɲː,0.029878400263511847,34,0.015617822691777675,1,0.00045934772622875517
t̪ʼ,0.029878400263511847,34,0.015617822691777675,1,0.00045934772622875517
tʲ,0.027978049376052225,74,0.033991731740927886,2,0.0009186954524575103
w,0.02760628392136402,1884,0.8654111162149747,7,0.003215434083601286
ʈʂʰ,0.026783297655077386,38,0.017455213596692696,1,0.00045934772622875517
mp,0.026783297655077386,38,0.017455213596692696,1,0.00045934772622875517
ʈʂ,0.02659386032420811,78,0.035829122645842905,2,0.0009186954524575103
fː,0.026108752488546688,39,0.017914561322921452,1,0.00045934772622875517
sʷ,0.026108752488546688,39,0.017914561322921452,1,0.00045934772622875517
ɔ̃ː,0.025467945718296678,40,0.018373909049150206,1,0.00045934772622875517
sʲ,0.024858408696446517,41,0.018833256775378962,1,0.00045934772622875517
y,0.024720657703488372,129,0.05925585668350942,3,0.0013780431786862655
ŋ,0.024378499440089584,1425,0.6545705098759761,12,0.005512172714745062
b̤,0.02427790788446526,42,0.01929260450160772,1,0.00045934772622875517
ɘ,0.02427790788446526,42,0.01929260450160772,1,0.00045934772622875517
ai,0.02368466861047043,88,0.040422599908130456,2,0.0009186954524575103
χʷ,0.02319609598090611,44,0.020211299954065228,1,0.00045934772622875517
ɮ,0.02319609598090611,44,0.020211299954065228,1,0.00045934772622875517
ɒ,0.02220839369146961,46,0.021129995406522738,1,0.00045934772622875517
ɛ̃ː,0.02220839369146961,46,0.021129995406522738,1,0.00045934772622875517
β,0.02183901127563099,260,0.11943040881947635,5,0.0022967386311437757
tɕ,0.021794409738907578,96,0.044097381717960495,2,0.0009186954524575103
pʷ,0.020878088077336196,49,0.022508038585209004,1,0.00045934772622875517
ɡʱ,0.020878088077336196,49,0.022508038585209004,1,0.00045934772622875517
t,0.020212617798616588,1657,0.7611391823610473,8,0.0036747818098300414
