Segment,Borrowability,PHOIBLE_frequency_absolute,PHOIBLE_frequency_relative,SEGBO_frequency_absolute,SEGBO_frequency_relative,ID,Name,Description,SegmentClass,tone,stress,syllabic,short,long,consonantal,sonorant,continuant,delayedRelease,approximant,tap,trill,nasal,lateral,labial,round,labiodental,coronal,anterior,distributed,strident,dorsal,high,low,front,back,tense,retractedTongueRoot,advancedTongueRoot,periodicGlottalSource,epilaryngealSource,spreadGlottis,constrictedGlottis,fortis,raisedLarynxEjective,loweredLarynxImplosive,click
ɹ̺,0.01171488225924491,89,0.04088194763435921,1,0.00045934772622875517,810FAFE2E381A78E1FFC5AEEB605942B,ɹ̺,LATIN SMALL LETTER TURNED R - COMBINING INVERTED BRIDGE BELOW,consonant,0,-,-,-,-,-,+,+,0,+,-,-,-,-,-,0,0,+,-,-,-,-,0,0,0,0,0,0,0,+,-,-,-,-,-,-,-
ɕ,0.011590267795346856,90,0.04134129536058796,1,0.00045934772622875517,5B46730211D403D44939C20A4D77EACA,ɕ,LATIN SMALL LETTER C WITH CURL,consonant,0,-,-,-,-,+,-,+,+,-,-,-,-,-,-,0,0,+,+,+,+,+,+,-,+,-,0,0,0,-,-,-,-,-,-,-,-
ɟ,0.011254019292604502,311,0.14285714285714285,3,0.0013780431786862655,320B62404207303F61B0F772296C9545,ɟ,LATIN SMALL LETTER DOTLESS J WITH STROKE,consonant,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,+,-,+,-,+,+,-,+,-,0,0,0,+,-,-,-,-,-,-,-
d̪,0.010768840111332428,328,0.1506660542030317,3,0.0013780431786862655,198E3EBE25854A256D6C67EF286FA260,d̪,LATIN SMALL LETTER D - COMBINING BRIDGE BELOW,consonant,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,+,+,+,-,-,0,0,0,0,0,0,0,+,-,-,-,-,-,-,-
əː,0.010481463649494463,100,0.045934772622875514,1,0.00045934772622875517,ED921AC9F6C2ABBAC1602F39891DADCF,əː,LATIN SMALL LETTER SCHWA - MODIFIER LETTER TRIANGULAR COLON,vowel,0,-,+,-,+,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,-,-,-,-,-,-,-,+,-,-,-,0,-,-,0
ʁ,0.010285849279470823,102,0.04685346807533303,1,0.00045934772622875517,B8654231A8D23801B38D10EE554ACBD5,ʁ,LATIN LETTER SMALL CAPITAL INVERTED R,consonant,0,-,-,-,-,+,-,+,+,-,-,-,-,-,-,0,0,-,0,0,0,+,-,-,-,+,0,0,0,+,-,-,-,-,-,-,-
eː,0.010001470128820038,528,0.24253559944878272,4,0.0018373909049150207,6DD56E3A80E90C3B1F5AC7AC45CE8180,eː,LATIN SMALL LETTER E - MODIFIER LETTER TRIANGULAR COLON,vowel,0,-,+,-,+,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,-,-,+,-,+,-,-,+,-,-,-,0,-,-,0
t̪,0.009707915273132665,552,0.2535599448782728,4,0.0018373909049150207,2DA484FF3408444AF11E01960C9C893A,t̪,LATIN SMALL LETTER T - COMBINING BRIDGE BELOW,consonant,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,+,+,+,-,-,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
cç,0.0093340536461549,113,0.051906293063849335,1,0.00045934772622875517,8AD5C612764E127E084477DD1C52B817,cç,LATIN SMALL LETTER C - LATIN SMALL LETTER C WITH CEDILLA,consonant,0,-,-,-,-,+,-,-,+,-,-,-,-,-,-,0,0,+,-,+,-,+,+,-,+,-,0,0,0,-,-,-,-,-,-,-,-
kʰ,0.009333733493397358,392,0.18006430868167203,3,0.0013780431786862655,BD29F40254AA0996800A773122397C28,kʰ,LATIN SMALL LETTER K - MODIFIER LETTER SMALL H,consonant,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,-,0,0,0,+,+,-,-,-,0,0,0,-,-,+,-,-,-,-,-
ʌ,0.009256660798870662,114,0.05236564079007809,1,0.00045934772622875517,18DCAF1C4880F45D5B402E7D776A91D0,ʌ,LATIN SMALL LETTER TURNED V,vowel,0,-,+,-,-,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,-,-,-,+,-,-,-,+,-,-,-,0,-,-,0
ç,0.008750844132874554,121,0.05558107487367937,1,0.00045934772622875517,A933E2A015DCF1AB1B946DBA04C1958C,ç,LATIN SMALL LETTER C WITH CEDILLA,consonant,0,-,-,-,-,+,-,+,+,-,-,-,-,-,-,0,0,+,-,+,-,+,+,-,+,-,0,0,0,-,-,-,-,-,-,-,-
t̠ʃʼ,0.008487329434697856,125,0.0574184657785944,1,0.00045934772622875517,73C29ACCE17EFB4239E53D799AD7C696,t̠ʃʼ,LATIN SMALL LETTER T - COMBINING MINUS SIGN BELOW - LATIN SMALL LETTER ESH - MODIFIER LETTER APOSTROPHE,consonant,0,-,-,-,-,+,-,-,+,-,-,-,-,-,-,0,0,+,-,+,+,-,0,0,0,0,0,0,0,-,-,-,+,-,+,-,-
ɛː,0.008350242222230745,274,0.12586127698667893,2,0.0009186954524575103,E12BC6D5BBF9272E866810A376DEEF52,ɛː,LATIN SMALL LETTER OPEN E - MODIFIER LETTER TRIANGULAR COLON,vowel,0,-,+,-,+,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,-,-,+,-,-,-,-,+,-,-,-,0,-,-,0
ɭ,0.007910323026052832,292,0.13412953605879652,2,0.0009186954524575103,512D7E3344FCD21B1EE47971D72DB39A,ɭ,LATIN SMALL LETTER L WITH RETROFLEX HOOK,consonant,0,-,-,-,-,+,+,+,0,+,-,-,-,+,-,0,0,+,-,-,-,-,0,0,0,0,0,0,0,+,-,-,-,-,-,-,-
tʰ,0.007732196767892027,300,0.13780431786862654,2,0.0009186954524575103,4EEF82037BC182F6353941401E583F45,tʰ,LATIN SMALL LETTER T - MODIFIER LETTER SMALL H,consonant,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,+,+,-,-,-,0,0,0,0,0,0,0,-,-,+,-,-,-,-,-
kp,0.0075635974512379,308,0.1414790996784566,2,0.0009186954524575103,3BE9D8AA68FB8CA25C1D8EE2091DC6D0,kp,LATIN SMALL LETTER K - LATIN SMALL LETTER P,consonant,0,-,-,-,-,+,-,-,-,-,-,-,-,-,+,-,-,-,0,0,0,+,+,-,-,-,0,0,0,-,-,-,-,-,-,-,-
ɳ,0.007384417082188528,317,0.1456132292145154,2,0.0009186954524575103,6838968A8DAA29313F3FD0EF4CE0AF3C,ɳ,LATIN SMALL LETTER N WITH RETROFLEX HOOK,consonant,0,-,-,-,-,+,+,-,0,-,-,-,+,-,-,0,0,+,-,-,-,-,0,0,0,0,0,0,0,+,-,-,-,-,-,-,-
n,0.007108107225650572,1845,0.8474965548920533,2,0.0009186954524575103,E03DA215BAB0A158BA5D1CB5C4D5D6FD,n,LATIN SMALL LETTER N,consonant,0,-,-,-,-,+,+,-,0,-,-,-,+,-,-,0,0,+,+,-,-,-,0,0,0,0,0,0,0,+,-,-,-,-,-,-,-
ɪ,0.006921416330981684,343,0.15755627009646303,2,0.0009186954524575103,CF50E15F866A7B9698A8F95C5C9B48B2,ɪ,LATIN LETTER SMALL CAPITAL I,vowel,0,-,+,-,-,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,+,-,+,-,-,-,-,+,-,-,-,0,-,-,0
t̠ʃʰ,0.006707211870255349,161,0.07395498392282958,1,0.00045934772622875517,9C6117430968F42700ACD02E4E7442F7,t̠ʃʰ,LATIN SMALL LETTER T - COMBINING MINUS SIGN BELOW - LATIN SMALL LETTER ESH - MODIFIER LETTER SMALL H,consonant,0,-,-,-,-,+,-,-,+,-,-,-,-,-,-,0,0,+,-,+,+,-,0,0,0,0,0,0,0,-,-,+,-,-,-,-,-
kʼ,0.006450141032022565,168,0.07717041800643087,1,0.00045934772622875517,B9C749831BC59B5585B5AE2159F32788,kʼ,LATIN SMALL LETTER K - MODIFIER LETTER APOSTROPHE,consonant,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,-,0,0,0,+,+,-,-,-,0,0,0,-,-,-,+,-,+,-,-
ɖ,0.006346457702914649,171,0.07854846118511713,1,0.00045934772622875517,BE81A18FCCFFEDC9ACF3B18F14E766BD,ɖ,LATIN SMALL LETTER D WITH TAIL,consonant,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,+,-,-,-,-,0,0,0,0,0,0,0,+,-,-,-,-,-,-,-
aː,0.006090805318053629,753,0.34588883785025265,3,0.0013780431786862655,2F272C9C5FA2DA70706B565B2DC46DE8,aː,LATIN SMALL LETTER A - MODIFIER LETTER TRIANGULAR COLON,vowel,0,-,+,-,+,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,-,+,-,-,0,-,-,+,-,-,-,0,-,-,0
n̪,0.005857882444111981,424,0.19476343592099218,2,0.0009186954524575103,2ED41B5E874292EB0C3BBC6F31DC6FCC,n̪,LATIN SMALL LETTER N - COMBINING BRIDGE BELOW,consonant,0,-,-,-,-,+,+,-,0,-,-,-,+,-,-,0,0,+,+,+,-,-,0,0,0,0,0,0,0,+,-,-,-,-,-,-,-
ɔ̃,0.005739126766949801,191,0.08773541570969223,1,0.00045934772622875517,E8929F8B062DC2469EEDA96A98BD8D3A,ɔ̃,LATIN SMALL LETTER OPEN O - COMBINING TILDE,vowel,0,-,+,-,-,-,+,+,0,+,-,-,+,-,+,+,-,-,0,0,0,+,-,-,-,+,-,-,-,+,-,-,-,0,-,-,0
a,0.005658925609952638,1983,0.9108865411116215,1,0.00045934772622875517,72FB536ACFF408163656BBCDAFCAC6F6,a,LATIN SMALL LETTER A,vowel,0,-,+,-,-,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,-,+,-,-,0,-,-,+,-,-,-,0,-,-,0
ɛ̃,0.005432693987352828,203,0.0932475884244373,1,0.00045934772622875517,0893FE8A6560A9B5DFA0A58647DB558E,ɛ̃,LATIN SMALL LETTER OPEN E - COMBINING TILDE,vowel,0,-,+,-,-,-,+,+,0,+,-,-,+,-,-,0,0,-,0,0,0,+,-,-,+,-,-,-,-,+,-,-,-,0,-,-,0
ɗ,0.005292819076516124,209,0.09600367478180984,1,0.00045934772622875517,192EEEA914E770D60BEC3F86DAED50AA,ɗ,LATIN SMALL LETTER D WITH HOOK,consonant,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,+,+,-,-,-,0,0,0,0,0,0,0,+,-,-,-,-,-,+,-
o̞,0.0048614367700587306,230,0.10564997703261368,1,0.00045934772622875517,CCF0350A2EFEF792529909972278B165,o̞,LATIN SMALL LETTER O - COMBINING DOWN TACK BELOW,vowel,0,-,+,-,-,-,+,+,0,+,-,-,-,-,+,+,-,-,0,0,0,+,-,-,-,+,0,-,-,+,-,-,-,0,-,-,0
ɓ,0.004582907040877762,246,0.11299954065227377,1,0.00045934772622875517,CFA86CE56605194A2F338BA3E3974EA3,ɓ,LATIN SMALL LETTER B WITH HOOK,consonant,0,-,-,-,-,+,-,-,-,-,-,-,-,-,+,-,-,-,0,0,0,-,0,0,0,0,0,0,0,+,-,-,-,-,-,+,-
ŋɡ,0.0044877344877344875,252,0.1157556270096463,1,0.00045934772622875517,95A609A900A52E93F9252FD72E8D136F,ŋɡ,LATIN SMALL LETTER ENG - LATIN SMALL LETTER SCRIPT G,consonant,0,-,-,-,-,+,"+,-",-,-,-,-,-,"+,-",-,-,0,0,-,0,0,0,+,+,-,-,-,0,0,0,+,-,-,-,-,-,-,-
nd,0.004441859990614352,255,0.11713367018833257,1,0.00045934772622875517,6910328C2AAA6011720FA21FFE1665D8,nd,LATIN SMALL LETTER N - LATIN SMALL LETTER D,consonant,0,-,-,-,-,+,"+,-",-,-,-,-,-,"+,-",-,-,0,0,+,+,-,-,-,0,0,0,0,0,0,0,+,-,-,-,-,-,-,-
mb,0.004188213747037276,273,0.12540192926045016,1,0.00045934772622875517,8DEC1745406483DE6A8030A28A69B646,mb,LATIN SMALL LETTER M - LATIN SMALL LETTER B,consonant,0,-,-,-,-,+,"+,-",-,-,-,-,-,"+,-",-,+,-,-,-,0,0,0,-,0,0,0,0,0,0,0,+,-,-,-,-,-,-,-
uː,0.004124699694578966,729,0.3348644924207625,2,0.0009186954524575103,3A9677F59A8D4980D4DEADD51C55FF1C,uː,LATIN SMALL LETTER U - MODIFIER LETTER TRIANGULAR COLON,vowel,0,-,+,-,+,-,+,+,0,+,-,-,-,-,+,+,-,-,0,0,0,+,+,-,-,+,+,-,-,+,-,-,-,0,-,-,0
õ,0.0040493887785242886,284,0.13045475424896646,1,0.00045934772622875517,DF648A2DB863191981CA66654BFF6BF4,õ,LATIN SMALL LETTER O - COMBINING TILDE,vowel,0,-,+,-,-,-,+,+,0,+,-,-,+,-,+,+,-,-,0,0,0,+,-,-,-,+,+,-,-,+,-,-,-,0,-,-,0
iː,0.003993484218674904,781,0.3587505741846578,2,0.0009186954524575103,D7A90868F42885077FD3F44A8440B3BB,iː,LATIN SMALL LETTER I - MODIFIER LETTER TRIANGULAR COLON,vowel,0,-,+,-,+,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,+,-,+,-,+,-,-,+,-,-,-,0,-,-,0
ɡb,0.0038233765138955236,304,0.13964170877354157,1,0.00045934772622875517,1F27FEFCD8402C09E00300258B5A7EE2,ɡb,LATIN SMALL LETTER SCRIPT G - LATIN SMALL LETTER B,consonant,0,-,-,-,-,+,-,-,-,-,-,-,-,-,+,-,-,-,0,0,0,+,+,-,-,-,0,0,0,+,-,-,-,-,-,-,-
ã,0.0030568286490979756,401,0.18419843821773083,1,0.00045934772622875517,8E32B519FFFA1D3336C36200F8060969,ã,LATIN SMALL LETTER A - COMBINING TILDE,vowel,0,-,+,-,-,-,+,+,0,+,-,-,+,-,-,0,0,-,0,0,0,+,-,+,-,-,0,-,-,+,-,-,-,0,-,-,0
ɨ,0.0030392633171946637,404,0.18557648139641708,1,0.00045934772622875517,3A3393BDCDC64FE0B39793147F9DBA7D,ɨ,LATIN SMALL LETTER I WITH STROKE,vowel,0,-,+,-,-,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,+,-,-,-,+,-,-,+,-,-,-,0,-,-,0
ĩ,0.0029394688162460675,422,0.19384474046853467,1,0.00045934772622875517,A9F45477DAC8AB8BB14C84275ED3690F,ĩ,LATIN SMALL LETTER I - COMBINING TILDE,vowel,0,-,+,-,-,-,+,+,0,+,-,-,+,-,-,0,0,-,0,0,0,+,+,-,+,-,+,-,-,+,-,-,-,0,-,-,0
