Segment,Borrowability,PHOIBLE_frequency_absolute,PHOIBLE_frequency_relative,SEGBO_frequency_absolute,SEGBO_frequency_relative,ID,Name,Description,SegmentClass,tone,stress,syllabic,short,long,consonantal,sonorant,continuant,delayedRelease,approximant,tap,trill,nasal,lateral,labial,round,labiodental,coronal,anterior,distributed,strident,dorsal,high,low,front,back,tense,retractedTongueRoot,advancedTongueRoot,periodicGlottalSource,epilaryngealSource,spreadGlottis,constrictedGlottis,fortis,raisedLarynxEjective,loweredLarynxImplosive,click
tsʷʰ,0.20046040515653776,5,0.0022967386311437757,1,0.00045934772622875517,7923B7E1859F891FD08B68F016654DB7,tsʷʰ,LATIN SMALL LETTER T - LATIN SMALL LETTER S - MODIFIER LETTER SMALL W - MODIFIER LETTER SMALL H,consonant,0,-,-,-,-,+,-,-,+,-,-,-,-,-,+,+,-,+,+,-,+,-,0,0,0,0,0,0,0,-,-,+,-,-,-,-,-
f,0.18787895877338692,968,0.444648598989435,101,0.04639412034910427,86E80A7DA80F7F58CA76F85BACA48F86,f,LATIN SMALL LETTER F,consonant,0,-,-,-,-,+,-,+,+,-,-,-,-,-,+,-,+,-,0,0,0,-,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
dˤ,0.16712728389375098,6,0.002756086357372531,1,0.00045934772622875517,1FCBA2F74274FF6CBC8636C9BAB66A2F,dˤ,LATIN SMALL LETTER D - MODIFIER LETTER SMALL REVERSED GLOTTAL STOP,consonant,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,+,+,-,-,-,0,0,0,0,0,+,-,+,-,-,-,-,-,-,-
dzʲ,0.16712728389375098,6,0.002756086357372531,1,0.00045934772622875517,359D8C5FEAA18466059F2427790039DC,dzʲ,LATIN SMALL LETTER D - LATIN SMALL LETTER Z - MODIFIER LETTER SMALL J,consonant,0,-,-,-,-,+,-,-,+,-,-,-,-,-,-,0,0,+,+,-,+,+,+,-,+,-,0,0,0,+,-,-,-,-,-,-,-
rʲ,0.15000861326442722,27,0.01240238860817639,4,0.0018373909049150207,4FEA9B23C77E9EA34A6963E4D4FF64BA,rʲ,LATIN SMALL LETTER R - MODIFIER LETTER SMALL J,consonant,0,-,-,-,-,+,+,+,0,+,-,+,-,-,-,0,0,+,+,-,-,+,+,-,+,-,0,0,0,+,-,-,-,-,-,-,-
zˤ,0.14331797235023042,7,0.003215434083601286,1,0.00045934772622875517,5CD0683A71734F676F28F2E766031D42,zˤ,LATIN SMALL LETTER Z - MODIFIER LETTER SMALL REVERSED GLOTTAL STOP,consonant,0,-,-,-,-,+,-,+,+,-,-,-,-,-,-,0,0,+,+,-,+,-,0,0,0,0,0,+,-,+,-,-,-,-,-,-,-
ɪ̈,0.14331797235023042,7,0.003215434083601286,1,0.00045934772622875517,285A8D9A3CA9805FE744FA8CD275ADE9,ɪ̈,LATIN LETTER SMALL CAPITAL I - COMBINING DIAERESIS,vowel,0,-,+,-,-,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,+,-,0,-,-,-,-,+,-,-,-,0,-,-,0
æ̃ː,0.14331797235023042,7,0.003215434083601286,1,0.00045934772622875517,12284E9A12BC41F54DBF307EDD516C76,æ̃ː,LATIN SMALL LETTER AE - COMBINING TILDE - MODIFIER LETTER TRIANGULAR COLON,vowel,0,-,+,-,+,-,+,+,0,+,-,-,+,-,-,0,0,-,0,0,0,+,-,+,+,-,0,-,-,+,-,-,-,0,-,-,0
ʕ,0.13614759224515322,45,0.02067064768029398,6,0.002756086357372531,55F94F929CDB58CDE9BE8333787E3A31,ʕ,LATIN LETTER PHARYNGEAL VOICED FRICATIVE,consonant,0,-,-,-,-,+,-,+,+,-,-,-,-,-,-,0,0,-,0,0,0,+,-,+,-,+,0,0,0,+,-,-,-,-,-,-,-
p,0.1262879170643163,1895,0.870463941203491,31,0.01423977951309141,2D6FB64B3CDC3549EF11DB98A66A9EAD,p,LATIN SMALL LETTER P,consonant,0,-,-,-,-,+,-,-,-,-,-,-,-,-,+,-,-,-,0,0,0,-,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
ɽ̃,0.1254610419548179,8,0.0036747818098300414,1,0.00045934772622875517,558EB9E0D21C4B2AF8EA78F96AADF1E6,ɽ̃,LATIN SMALL LETTER R WITH TAIL - COMBINING TILDE,consonant,0,-,-,-,-,+,+,+,0,+,+,-,+,-,-,0,0,+,-,-,-,-,0,0,0,0,0,0,0,+,-,-,-,-,-,-,-
tsʷ,0.1254610419548179,8,0.0036747818098300414,1,0.00045934772622875517,A66006789C0D5D1A4E620C2E06A6DA03,tsʷ,LATIN SMALL LETTER T - LATIN SMALL LETTER S - MODIFIER LETTER SMALL W,consonant,0,-,-,-,-,+,-,-,+,-,-,-,-,-,+,+,-,+,+,-,+,-,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
ʜ,0.1254610419548179,8,0.0036747818098300414,1,0.00045934772622875517,DB415281921248FCDAF723AFA0D986E4,ʜ,LATIN LETTER SMALL CAPITAL H,consonant,0,-,-,-,-,-,-,+,+,-,-,-,-,-,-,0,0,-,0,0,0,-,0,0,0,0,0,0,0,-,+,+,-,-,-,-,-
ɲ̊,0.11157236572365724,9,0.004134129536058797,1,0.00045934772622875517,7145DA37441D46468137A8F0833E6787,ɲ̊,LATIN SMALL LETTER N WITH LEFT HOOK - COMBINING RING ABOVE,consonant,0,-,-,-,-,+,+,-,0,-,-,-,+,-,-,0,0,+,-,+,-,+,+,-,+,-,0,0,0,-,-,-,-,-,-,-,-
wʲ,0.10046146746654361,10,0.004593477262287551,1,0.00045934772622875517,82D3CEC9D54DFBC7619D0B9EF5F4993E,wʲ,LATIN SMALL LETTER W - MODIFIER LETTER SMALL J,consonant,0,-,-,-,-,-,+,+,0,+,-,-,-,-,+,+,-,-,0,0,0,+,+,-,+,-,+,0,0,+,-,-,-,-,-,-,-
ɡ,0.09783339526924839,1255,0.5764813964170877,52,0.02388608176389527,ECC959553F23387998DAF88D69D7736C,ɡ,LATIN SMALL LETTER SCRIPT G,consonant,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,-,0,0,0,+,+,-,-,-,0,0,0,+,-,-,-,-,-,-,-
dʱ,0.0913707714261731,11,0.005052824988516307,1,0.00045934772622875517,ABF384858047DB0210A89F0502E90C82,dʱ,LATIN SMALL LETTER D - MODIFIER LETTER SMALL H WITH HOOK,consonant,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,+,+,-,-,-,0,0,0,0,0,0,0,+,-,+,-,-,-,-,-
ŋ̊,0.0913707714261731,11,0.005052824988516307,1,0.00045934772622875517,DC64DF688224E6FD840EEFC3767FDBE6,ŋ̊,LATIN SMALL LETTER ENG - COMBINING RING ABOVE,consonant,0,-,-,-,-,+,+,-,0,-,-,-,+,-,-,0,0,-,0,0,0,+,+,-,-,-,0,0,0,-,-,-,-,-,-,-,-
