Segment,Borrowability,PHOIBLE_frequency_absolute,PHOIBLE_frequency_relative,SEGBO_frequency_absolute,SEGBO_frequency_relative
ŋ̊,0.0913707714261731,11,0.005052824988516307,1,0.00045934772622875517
dʱ,0.0913707714261731,11,0.005052824988516307,1,0.00045934772622875517
xʲ,0.08379522709776752,12,0.005512172714745062,1,0.00045934772622875517
ħ,0.08300922748417601,62,0.02847955902618282,5,0.0022967386311437757
b,0.08137056485431937,1385,0.6361966008268259,41,0.018833256775378962
z,0.08113653527398268,682,0.31327514928801103,38,0.017455213596692696
ʒ,0.07838291660256684,331,0.15204409738171795,22,0.010105649977032614
ð,0.07815005384707431,122,0.05604042259990813,9,0.004134129536058797
pʲʰ,0.07738518413194938,13,0.0059715204409738175,1,0.00045934772622875517
ɑ̃ː,0.07738518413194938,13,0.0059715204409738175,1,0.00045934772622875517
z̻,0.07738518413194938,13,0.0059715204409738175,1,0.00045934772622875517
ɡ̤,0.0718908922792418,14,0.006430868167202572,1,0.00045934772622875517
qː,0.0718908922792418,14,0.006430868167202572,1,0.00045934772622875517
sʼ,0.0718908922792418,14,0.006430868167202572,1,0.00045934772622875517
mbʷ,0.0718908922792418,14,0.006430868167202572,1,0.00045934772622875517
d̠ʒ,0.07081977878985037,640,0.2939825447864033,32,0.014699127239320165
v,0.07011490670323733,617,0.28341754708314193,31,0.01423977951309141
d,0.06982511225902292,1097,0.5039044556729444,38,0.017455213596692696
fʲ,0.06759819903741654,30,0.013780431786862656,2,0.0009186954524575103
x,0.06598551167910767,411,0.18879191548001836,22,0.010105649977032614
ʎ,0.06538322921672272,96,0.044097381717960495,6,0.002756086357372531
h,0.06402376260918154,1258,0.577859439595774,34,0.015617822691777675
ɹ,0.06390911225927665,48,0.022048690858980247,3,0.0013780431786862655
ʃ,0.06385978421289039,782,0.3592099219108865,32,0.014699127239320165
tsʲ,0.062962748727441,16,0.007349563619660083,1,0.00045934772622875517
d̤,0.062962748727441,16,0.007349563619660083,1,0.00045934772622875517
χ,0.06141967761957605,158,0.07257694074414332,9,0.004134129536058797
ɸ,0.0603185535263337,123,0.056499770326136886,7,0.003215434083601286
bʱ,0.059286492374727676,17,0.0078089113458888375,1,0.00045934772622875517
bʰ,0.059286492374727676,17,0.0078089113458888375,1,0.00045934772622875517
qʷʼ,0.05601873295249858,18,0.008268259072117593,1,0.00045934772622875517
ɱ,0.05601873295249858,18,0.008268259072117593,1,0.00045934772622875517
l,0.05550680449170818,1582,0.7266881028938906,24,0.011024345429490124
q,0.05450676014021032,180,0.08268259072117592,9,0.004134129536058797
r,0.05328929487255238,1099,0.5048231511254019,29,0.0133210840606339
t̠ʃ,0.05277228511370681,916,0.42076251722553976,28,0.012861736334405145
o,0.05148879970785959,1446,0.66421681212678,25,0.011483693155718878
ʃː,0.050935891436593356,40,0.018373909049150206,2,0.0009186954524575103
